feature,importance
session_duration_seconds,20.823953625794392
items_per_offer,13.495877071742019
f11,9.4480945824412
idle_gap_seconds,6.01627072313306
f10,5.576503594659098
f9,5.295799198312027
cart_has_items,4.672109714163627
f7,4.197021864056385
cart_value_per_offer,3.332366587998634
f12,3.0341002419600342
action_response_combo,2.2098285581162695
cart_gap_shortfall,1.7999541167759598
f12_missing,1.7012157311153178
idle_share,1.5671736492370694
f14,1.4226874723353424
f16,1.4089479816257329
session_start_dayofweek,1.1790977936750129
avg_item_value,1.161209163667689
discount_to_min_order_ratio,0.9625689193348894
active_share,0.8393808454430809
f15,0.832604027232487
f15_missing,0.829946118412423
active_span_seconds,0.7220552096148377
f13,0.7023264970007629
offers_remaining_after_declines,0.695846273825765
cart_to_min_order_gap,0.6772367822399317
f17_missing,0.63642662310785
f14_missing,0.5788490076059213
discount_to_cart_ratio,0.49136164918927716
f6,0.3599381070880692
promo_response_accepted,0.3513296813718971
discount_per_offer_shown,0.345521778683602
cart_gap_surplus,0.32700661790257585
promo_response_declined,0.32620439573898924
f17,0.29373883020856395
f13_missing,0.2808824459324766
action_promo_combo,0.26614877515026386
session_part_of_day,0.2587672349889874
session_start_hour,0.25115262230386537
promo_type_response_combo,0.22999152195832595
has_any_offer,0.17066637160361692
promo_response_ignored,0.15886880280120325
session_start_is_weekend,0.04636979677185556
declined_offer_ratio,0.014140048757132555
promo_response_group,0.005558069475236062
f8,0.0029012754473101234
meets_min_order,0.0
promotion_present,0.0
is_returning_customer,0.0
